номер_опоры;материал_основания;горизонтальный/вертикальный;крепление_к;тип_воздуховода;диаметр/ширина;Ключ
Н7.0.3-2.45.8;Металлоконструкции (прямоуг. труба);Горизонтальный;Потолок;Круглый;900;Металлоконструкции (прямоуг. труба)ГоризонтальныйНетДа900
Н7.0.3-2.45.9;Металлоконструкции (прямоуг. труба);Горизонтальный;Потолок;Круглый;1000;Металлоконструкции (прямоуг. труба)ГоризонтальныйНетДа1000
Н7.0.3-2.45.10;Металлоконструкции (прямоуг. труба);Горизонтальный;Потолок;Круглый;1120;Металлоконструкции (прямоуг. труба)ГоризонтальныйНетДа1120
Н7.0.3-2.45.11;Металлоконструкции (прямоуг. труба);Горизонтальный;Потолок;Круглый;1250;Металлоконструкции (прямоуг. труба)ГоризонтальныйНетДа1250
Н7.0.3-5.1.1;Профлист;Горизонтальный;Потолок;Круглый;100;ПрофлистГоризонтальныйНетДа100
Н7.0.3-5.1.2;Профлист;Горизонтальный;Потолок;Круглый;125;ПрофлистГоризонтальныйНетДа125
Н7.0.3-5.1.3;Профлист;Горизонтальный;Потолок;Круглый;140;ПрофлистГоризонтальныйНетДа140
Н7.0.3-5.1.4;Профлист;Горизонтальный;Потолок;Круглый;150;ПрофлистГоризонтальныйНетДа150
Н7.0.3-5.1.5;Профлист;Горизонтальный;Потолок;Круглый;160;ПрофлистГоризонтальныйНетДа160
Н7.0.3-5.1.6;Профлист;Горизонтальный;Потолок;Круглый;180;ПрофлистГоризонтальныйНетДа180
Н7.0.3-5.1.7;Профлист;Горизонтальный;Потолок;Круглый;200;ПрофлистГоризонтальныйНетДа200
Н7.0.3-5.1.8;Профлист;Горизонтальный;Потолок;Круглый;224;ПрофлистГоризонтальныйНетДа224
Н7.0.3-5.1.9;Профлист;Горизонтальный;Потолок;Круглый;250;ПрофлистГоризонтальныйНетДа250
Н7.0.3-5.1.10;Профлист;Горизонтальный;Потолок;Круглый;280;ПрофлистГоризонтальныйНетДа280
Н7.0.3-5.1.11;Профлист;Горизонтальный;Потолок;Круглый;300;ПрофлистГоризонтальныйНетДа300
Н7.0.3-5.1.12;Профлист;Горизонтальный;Потолок;Круглый;315;ПрофлистГоризонтальныйНетДа315
Н7.0.3-5.1.13;Профлист;Горизонтальный;Потолок;Круглый;355;ПрофлистГоризонтальныйНетДа355
Н7.0.3-5.1.14;Профлист;Горизонтальный;Потолок;Круглый;400;ПрофлистГоризонтальныйНетДа400
Н7.0.3-5.2.1;Профлист;Горизонтальный;Потолок;Круглый;450;ПрофлистГоризонтальныйНетДа450
Н7.0.3-5.2.2;Профлист;Горизонтальный;Потолок;Круглый;500;ПрофлистГоризонтальныйНетДа500
Н7.0.3-5.2.3;Профлист;Горизонтальный;Потолок;Круглый;560;ПрофлистГоризонтальныйНетДа560
Н7.0.3-5.2.4;Профлист;Горизонтальный;Потолок;Круглый;600;ПрофлистГоризонтальныйНетДа600
Н7.0.3-5.2.5;Профлист;Горизонтальный;Потолок;Круглый;630;ПрофлистГоризонтальныйНетДа630
Н7.0.3-5.2.6;Профлист;Горизонтальный;Потолок;Круглый;710;ПрофлистГоризонтальныйНетДа710
Н7.0.3-5.2.7;Профлист;Горизонтальный;Потолок;Круглый;800;ПрофлистГоризонтальныйНетДа800
Н7.0.3-5.2.8;Профлист;Горизонтальный;Потолок;Круглый;900;ПрофлистГоризонтальныйНетДа900
Н7.0.3-5.2.9;Профлист;Горизонтальный;Потолок;Круглый;1000;ПрофлистГоризонтальныйНетДа1000
Н7.0.3-5.2.10;Профлист;Горизонтальный;Потолок;Круглый;1120;ПрофлистГоризонтальныйНетДа1120
Н7.0.3-5.2.11;Профлист;Горизонтальный;Потолок;Круглый;1250;ПрофлистГоризонтальныйНетДа1250
Н7.0.3-5.3.1;Профлист;Горизонтальный;Потолок;Прямоугольный;200;ПрофлистГоризонтальныйНетНет200
Н7.0.3-5.3.2;Профлист;Горизонтальный;Потолок;Прямоугольный;400;ПрофлистГоризонтальныйНетНет400
Н7.0.3-5.3.3;Профлист;Горизонтальный;Потолок;Прямоугольный;600;ПрофлистГоризонтальныйНетНет600
Н7.0.3-5.3.4;Профлист;Горизонтальный;Потолок;Прямоугольный;800;ПрофлистГоризонтальныйНетНет800
Н7.0.3-5.3.5;Профлист;Горизонтальный;Потолок;Прямоугольный;1000;ПрофлистГоризонтальныйНетНет1000
Н7.0.3-5.3.6;Профлист;Горизонтальный;Потолок;Прямоугольный;1200;ПрофлистГоризонтальныйНетНет1200
Н7.0.3-5.3.7;Профлист;Горизонтальный;Потолок;Прямоугольный;1400;ПрофлистГоризонтальныйНетНет1400
Н7.0.3-5.3.8;Профлист;Горизонтальный;Потолок;Прямоугольный;1600;ПрофлистГоризонтальныйНетНет1600
Н7.0.3-5.3.9;Профлист;Горизонтальный;Потолок;Прямоугольный;1800;ПрофлистГоризонтальныйНетНет1800
Н7.0.3-5.3.10;Профлист;Горизонтальный;Потолок;Прямоугольный;2000;ПрофлистГоризонтальныйНетНет2000
