номер_опоры;материал_основания;горизонтальный/вертикальный;крепление_к;тип_воздуховода;диаметр/ширина;Ключ
Н7.0.3.-3.1.10;Железобетон/кирпич;Горизонтальный;Стена;Круглый;280;Железобетон/кирпичГоризонтальныйДаДа280
Н7.0.3.-3.1.11;Железобетон/кирпич;Горизонтальный;Стена;Круглый;300;Железобетон/кирпичГоризонтальныйДаДа300
Н7.0.3.-3.1.12;Железобетон/кирпич;Горизонтальный;Стена;Круглый;315;Железобетон/кирпичГоризонтальныйДаДа315
Н7.0.3.-3.1.13;Железобетон/кирпич;Горизонтальный;Стена;Круглый;355;Железобетон/кирпичГоризонтальныйДаДа355
Н7.0.3.-3.1.14;Железобетон/кирпич;Горизонтальный;Стена;Круглый;400;Железобетон/кирпичГоризонтальныйДаДа400
Н7.0.3-1.5.1;Железобетон/кирпич;Горизонтальный;Стена;Круглый;450;Железобетон/кирпичГоризонтальныйДаДа450
Н7.0.3-1.5.2;Железобетон/кирпич;Горизонтальный;Стена;Круглый;500;Железобетон/кирпичГоризонтальныйДаДа500
Н7.0.3-1.5.3;Железобетон/кирпич;Горизонтальный;Стена;Круглый;560;Железобетон/кирпичГоризонтальныйДаДа560
Н7.0.3-1.5.4;Железобетон/кирпич;Горизонтальный;Стена;Круглый;600;Железобетон/кирпичГоризонтальныйДаДа600
Н7.0.3-1.5.5;Железобетон/кирпич;Горизонтальный;Стена;Круглый;630;Железобетон/кирпичГоризонтальныйДаДа630
Н7.0.3-1.5.6;Железобетон/кирпич;Горизонтальный;Стена;Круглый;710;Железобетон/кирпичГоризонтальныйДаДа710
Н7.0.3-1.5.7;Железобетон/кирпич;Горизонтальный;Стена;Круглый;800;Железобетон/кирпичГоризонтальныйДаДа800
Н7.0.3-1.5.8;Железобетон/кирпич;Горизонтальный;Стена;Круглый;900;Железобетон/кирпичГоризонтальныйДаДа900
Н7.0.3-1.5.9;Железобетон/кирпич;Горизонтальный;Стена;Круглый;1000;Железобетон/кирпичГоризонтальныйДаДа1000
Н7.0.3-1.5.10;Железобетон/кирпич;Горизонтальный;Стена;Круглый;1120;Железобетон/кирпичГоризонтальныйДаДа1120
Н7.0.3-1.5.11;Железобетон/кирпич;Горизонтальный;Стена;Круглый;1250;Железобетон/кирпичГоризонтальныйДаДа1250
Н7.0.3-1.6.1;Железобетон/кирпич;Горизонтальный;Стена;Прямоугольный;200;Железобетон/кирпичГоризонтальныйДаНет200
Н7.0.3-1.6.2;Железобетон/кирпич;Горизонтальный;Стена;Прямоугольный;400;Железобетон/кирпичГоризонтальныйДаНет400
Н7.0.3-1.6.3;Железобетон/кирпич;Горизонтальный;Стена;Прямоугольный;600;Железобетон/кирпичГоризонтальныйДаНет600
Н7.0.3-1.6.4;Железобетон/кирпич;Горизонтальный;Стена;Прямоугольный;800;Железобетон/кирпичГоризонтальныйДаНет800
Н7.0.3-1.6.5;Железобетон/кирпич;Горизонтальный;Стена;Прямоугольный;1000;Железобетон/кирпичГоризонтальныйДаНет1000
Н7.0.3-1.6.6;Железобетон/кирпич;Горизонтальный;Стена;Прямоугольный;1200;Железобетон/кирпичГоризонтальныйДаНет1200
Н7.0.3-1.7.1;Железобетон/кирпич;Вертикальный;Стена;Круглый;100;Железобетон/кирпичВертикальныйДаДа100
Н7.0.3-1.7.2;Железобетон/кирпич;Вертикальный;Стена;Круглый;125;Железобетон/кирпичВертикальныйДаДа125
Н7.0.3-1.7.3;Железобетон/кирпич;Вертикальный;Стена;Круглый;140;Железобетон/кирпичВертикальныйДаДа140
Н7.0.3-1.7.4;Железобетон/кирпич;Вертикальный;Стена;Круглый;150;Железобетон/кирпичВертикальныйДаДа150
Н7.0.3-1.7.5;Железобетон/кирпич;Вертикальный;Стена;Круглый;160;Железобетон/кирпичВертикальныйДаДа160
Н7.0.3-1.7.6;Железобетон/кирпич;Вертикальный;Стена;Круглый;180;Железобетон/кирпичВертикальныйДаДа180
Н7.0.3-1.7.7;Железобетон/кирпич;Вертикальный;Стена;Круглый;200;Железобетон/кирпичВертикальныйДаДа200
Н7.0.3-1.7.8;Железобетон/кирпич;Вертикальный;Стена;Круглый;224;Железобетон/кирпичВертикальныйДаДа224
Н7.0.3-1.7.9;Железобетон/кирпич;Вертикальный;Стена;Круглый;250;Железобетон/кирпичВертикальныйДаДа250
Н7.0.3-1.7.10;Железобетон/кирпич;Вертикальный;Стена;Круглый;280;Железобетон/кирпичВертикальныйДаДа280
Н7.0.3-1.7.11;Железобетон/кирпич;Вертикальный;Стена;Круглый;300;Железобетон/кирпичВертикальныйДаДа300
Н7.0.3-1.7.12;Железобетон/кирпич;Вертикальный;Стена;Круглый;315;Железобетон/кирпичВертикальныйДаДа315
Н7.0.3-1.7.13;Железобетон/кирпич;Вертикальный;Стена;Круглый;355;Железобетон/кирпичВертикальныйДаДа355
Н7.0.3-1.7.14;Железобетон/кирпич;Вертикальный;Стена;Круглый;400;Железобетон/кирпичВертикальныйДаДа400
Н7.0.3-1.7.15;Железобетон/кирпич;Вертикальный;Стена;Круглый;450;Железобетон/кирпичВертикальныйДаДа450
Н7.0.3-1.7.16;Железобетон/кирпич;Вертикальный;Стена;Круглый;500;Железобетон/кирпичВертикальныйДаДа500
