номер_опоры;крепление_к;разводка;тип_воздуховода;диаметр/ширина;выстота;расстояние_от_стены_до_оси_воздуховода;насквозь
ОВ-2.2-4;Металлоконструкции (швеллер без наклона);Горизонтальная/потолок;Круглый;150;;;
ОВ-2.2-5;Металлоконструкции (швеллер без наклона);Горизонтальная/потолок;Круглый;160;;;
ОВ-2.2-6;Металлоконструкции (швеллер без наклона);Горизонтальная/потолок;Круглый;180;;;
ОВ-2.2-7;Металлоконструкции (швеллер без наклона);Горизонтальная/потолок;Круглый;200;;;
ОВ-2.2-8;Металлоконструкции (швеллер без наклона);Горизонтальная/потолок;Круглый;225;;;
ОВ-2.2-9;Металлоконструкции (швеллер без наклона);Горизонтальная/потолок;Круглый;250;;;
ОВ-2.2-10;Металлоконструкции (швеллер без наклона);Горизонтальная/потолок;Круглый;280;;;
ОВ-2.2-11;Металлоконструкции (швеллер без наклона);Горизонтальная/потолок;Круглый;300;;;
ОВ-2.2-12;Металлоконструкции (швеллер без наклона);Горизонтальная/потолок;Круглый;315;;;
ОВ-2.2-13;Металлоконструкции (швеллер без наклона);Горизонтальная/потолок;Круглый;355;;;
ОВ-2.2-14;Металлоконструкции (швеллер без наклона);Горизонтальная/потолок;Круглый;400;;;
ОВ-2.3-1;Металлоконструкции (швеллер с наклоном);Горизонтальная/потолок;Круглый;450;;;
ОВ-2.3-2;Металлоконструкции (швеллер с наклоном);Горизонтальная/потолок;Круглый;500;;;
ОВ-2.3-3;Металлоконструкции (швеллер с наклоном);Горизонтальная/потолок;Круглый;560;;;
ОВ-2.3-4;Металлоконструкции (швеллер с наклоном);Горизонтальная/потолок;Круглый;600;;;
ОВ-2.3-5;Металлоконструкции (швеллер с наклоном);Горизонтальная/потолок;Круглый;630;;;
ОВ-2.3-6;Металлоконструкции (швеллер с наклоном);Горизонтальная/потолок;Круглый;710;;;
ОВ-2.3-7;Металлоконструкции (швеллер с наклоном);Горизонтальная/потолок;Круглый;800;;;
ОВ-2.3-8;Металлоконструкции (швеллер с наклоном);Горизонтальная/потолок;Круглый;900;;;
ОВ-2.3-9;Металлоконструкции (швеллер с наклоном);Горизонтальная/потолок;Круглый;1000;;;
ОВ-2.3-10;Металлоконструкции (швеллер с наклоном);Горизонтальная/потолок;Круглый;1120;;;
ОВ-2.3-11;Металлоконструкции (швеллер с наклоном);Горизонтальная/потолок;Круглый;1250;;;
ОВ-2.3-12;Металлоконструкции (швеллер с наклоном);Горизонтальная/потолок;Круглый;1400;;;
ОВ-2.4-1;Металлоконструкции (швеллер без наклона);Горизонтальная/потолок;Круглый;450;;;
ОВ-2.4-2;Металлоконструкции (швеллер без наклона);Горизонтальная/потолок;Круглый;500;;;
ОВ-2.4-3;Металлоконструкции (швеллер без наклона);Горизонтальная/потолок;Круглый;560;;;
ОВ-2.4-4;Металлоконструкции (швеллер без наклона);Горизонтальная/потолок;Круглый;600;;;
ОВ-2.4-5;Металлоконструкции (швеллер без наклона);Горизонтальная/потолок;Круглый;630;;;
ОВ-2.4-6;Металлоконструкции (швеллер без наклона);Горизонтальная/потолок;Круглый;710;;;
ОВ-2.4-7;Металлоконструкции (швеллер без наклона);Горизонтальная/потолок;Круглый;800;;;
ОВ-2.4-8;Металлоконструкции (швеллер без наклона);Горизонтальная/потолок;Круглый;900;;;
ОВ-2.4-9;Металлоконструкции (швеллер без наклона);Горизонтальная/потолок;Круглый;1000;;;
ОВ-2.4-10;Металлоконструкции (швеллер без наклона);Горизонтальная/потолок;Круглый;1120;;;
ОВ-2.4-11;Металлоконструкции (швеллер без наклона);Горизонтальная/потолок;Круглый;1250;;;
ОВ-2.4-12;Металлоконструкции (швеллер без наклона);Горизонтальная/потолок;Круглый;1400;;;
ОВ-2.9-1;Металлоконструкции (швеллеры с наклоном шаг до 3м);Горизонтальная/потолок;Круглый;100;;;
ОВ-2.9-2;Металлоконструкции (швеллеры с наклоном шаг до 3м);Горизонтальная/потолок;Круглый;125;;;
ОВ-2.9-3;Металлоконструкции (швеллеры с наклоном шаг до 3м);Горизонтальная/потолок;Круглый;140;;;
ОВ-2.9-4;Металлоконструкции (швеллеры с наклоном шаг до 3м);Горизонтальная/потолок;Круглый;150;;;
ОВ-2.9-5;Металлоконструкции (швеллеры с наклоном шаг до 3м);Горизонтальная/потолок;Круглый;160;;;
ОВ-2.9-6;Металлоконструкции (швеллеры с наклоном шаг до 3м);Горизонтальная/потолок;Круглый;180;;;
ОВ-2.9-7;Металлоконструкции (швеллеры с наклоном шаг до 3м);Горизонтальная/потолок;Круглый;200;;;
ОВ-2.9-8;Металлоконструкции (швеллеры с наклоном шаг до 3м);Горизонтальная/потолок;Круглый;225;;;
ОВ-2.9-9;Металлоконструкции (швеллеры с наклоном шаг до 3м);Горизонтальная/потолок;Круглый;250;;;
ОВ-2.9-10;Металлоконструкции (швеллеры с наклоном шаг до 3м);Горизонтальная/потолок;Круглый;280;;;
ОВ-2.9-11;Металлоконструкции (швеллеры с наклоном шаг до 3м);Горизонтальная/потолок;Круглый;300;;;
ОВ-2.9-12;Металлоконструкции (швеллеры с наклоном шаг до 3м);Горизонтальная/потолок;Круглый;315;;;
ОВ-2.9-13;Металлоконструкции (швеллеры с наклоном шаг до 3м);Горизонтальная/потолок;Круглый;355;;;
ОВ-2.9-14;Металлоконструкции (швеллеры с наклоном шаг до 3м);Горизонтальная/потолок;Круглый;400;;;
