номер_опоры;крепление_к;разводка;тип_воздуховода;диаметр/ширина;выстота;расстояние_от_стены_до_оси_воздуховода;насквозь
ОВ-3.3-4;Кирпич;Горизонтальная/стена;Прямоугольный;800;;600;
ОВ-3.3-5;Кирпич;Горизонтальная/стена;Прямоугольный;1000;;700;
ОВ-3.3-6;Кирпич;Горизонтальная/стена;Прямоугольный;1200;;800;
ОВ-3.4-1;Кирпич;Вертикальная/стена;Круглый;100;;400;
ОВ-3.4-2;Кирпич;Вертикальная/стена;Круглый;125;;400;
ОВ-3.4-3;Кирпич;Вертикальная/стена;Круглый;140;;400;
ОВ-3.4-4;Кирпич;Вертикальная/стена;Круглый;150;;400;
ОВ-3.4-5;Кирпич;Вертикальная/стена;Круглый;160;;400;
ОВ-3.4-6;Кирпич;Вертикальная/стена;Круглый;180;;400;
ОВ-3.4-7;Кирпич;Вертикальная/стена;Круглый;200;;400;
ОВ-3.4-8;Кирпич;Вертикальная/стена;Круглый;225;;550;
ОВ-3.4-9;Кирпич;Вертикальная/стена;Круглый;250;;550;
ОВ-3.4-10;Кирпич;Вертикальная/стена;Круглый;280;;550;
ОВ-3.4-11;Кирпич;Вертикальная/стена;Круглый;300;;550;
ОВ-3.4-12;Кирпич;Вертикальная/стена;Круглый;315;;550;
ОВ-3.4-13;Кирпич;Вертикальная/стена;Круглый;355;;550;
ОВ-3.4-14;Кирпич;Вертикальная/стена;Круглый;400;;550;
ОВ-3.4-15;Кирпич;Вертикальная/стена;Круглый;450;;550;
ОВ-3.4-16;Кирпич;Вертикальная/стена;Круглый;500;;550;
ОВ-3.4-17;Кирпич;Вертикальная/стена;Круглый;560;;550;
ОВ-3.4-18;Кирпич;Вертикальная/стена;Круглый;600;;550;
ОВ-3.4-19;Кирпич;Вертикальная/стена;Круглый;630;;550;
ОВ-3.4-20;Кирпич;Вертикальная/стена;Круглый;710;;550;
ОВ-3.4-21;Кирпич;Вертикальная/стена;Круглый;800;;800;
ОВ-3.4-22;Кирпич;Вертикальная/стена;Круглый;900;;800;
ОВ-3.4-23;Кирпич;Вертикальная/стена;Круглый;1000;;800;
ОВ-3.4-24;Кирпич;Вертикальная/стена;Круглый;1120;;800;
ОВ-3.4-25;Кирпич;Вертикальная/стена;Круглый;1250;;1000;
ОВ-3.7-1;Кирпич;Вертикальная/стена;Прямоугольный;200;;300;
ОВ-3.7-2;Кирпич;Вертикальная/стена;Прямоугольный;400;;550;
ОВ-3.7-3;Кирпич;Вертикальная/стена;Прямоугольный;600;;550;
ОВ-3.7-4;Кирпич;Вертикальная/стена;Прямоугольный;800;;700;
ОВ-3.7-5;Кирпич;Вертикальная/стена;Прямоугольный;1000;;700;
ОВ-4.1-1;Ребристые плиты перекрытия;Горизонтальная/потолок;Круглый;100;;;
ОВ-4.1-2;Ребристые плиты перекрытия;Горизонтальная/потолок;Круглый;125;;;
ОВ-4.1-3;Ребристые плиты перекрытия;Горизонтальная/потолок;Круглый;140;;;
ОВ-4.1-4;Ребристые плиты перекрытия;Горизонтальная/потолок;Круглый;150;;;
ОВ-4.1-5;Ребристые плиты перекрытия;Горизонтальная/потолок;Круглый;160;;;
ОВ-4.1-6;Ребристые плиты перекрытия;Горизонтальная/потолок;Круглый;180;;;
ОВ-4.1-7;Ребристые плиты перекрытия;Горизонтальная/потолок;Круглый;200;;;
ОВ-4.1-8;Ребристые плиты перекрытия;Горизонтальная/потолок;Круглый;225;;;
ОВ-4.1-9;Ребристые плиты перекрытия;Горизонтальная/потолок;Круглый;250;;;
ОВ-4.1-10;Ребристые плиты перекрытия;Горизонтальная/потолок;Круглый;280;;;
ОВ-4.1-11;Ребристые плиты перекрытия;Горизонтальная/потолок;Круглый;300;;;
ОВ-4.1-12;Ребристые плиты перекрытия;Горизонтальная/потолок;Круглый;315;;;
ОВ-4.1-13;Ребристые плиты перекрытия;Горизонтальная/потолок;Круглый;355;;;
ОВ-4.1-14;Ребристые плиты перекрытия;Горизонтальная/потолок;Круглый;400;;;
ОВ-4.2-1;Ребристые плиты перекрытия;Горизонтальная/потолок;Круглый;450;;;
ОВ-4.2-2;Ребристые плиты перекрытия;Горизонтальная/потолок;Круглый;500;;;
ОВ-4.2-3;Ребристые плиты перекрытия;Горизонтальная/потолок;Круглый;560;;;
ОВ-4.2-4;Ребристые плиты перекрытия;Горизонтальная/потолок;Круглый;600;;;
ОВ-4.2-5;Ребристые плиты перекрытия;Горизонтальная/потолок;Круглый;630;;;
ОВ-4.2-6;Ребристые плиты перекрытия;Горизонтальная/потолок;Круглый;710;;;
ОВ-4.2-7;Ребристые плиты перекрытия;Горизонтальная/потолок;Круглый;800;;;
ОВ-4.2-8;Ребристые плиты перекрытия;Горизонтальная/потолок;Круглый;900;;;
ОВ-4.2-9;Ребристые плиты перекрытия;Горизонтальная/потолок;Круглый;1000;;;
ОВ-4.2-10;Ребристые плиты перекрытия;Горизонтальная/потолок;Круглый;1120;;;
ОВ-4.2-11;Ребристые плиты перекрытия;Горизонтальная/потолок;Круглый;1250;;;
ОВ-4.3-1;Ребристые плиты перекрытия;Горизонтальная/потолок;Прямоугольный;200;;;
ОВ-4.3-2;Ребристые плиты перекрытия;Горизонтальная/потолок;Прямоугольный;400;;;
ОВ-4.3-3;Ребристые плиты перекрытия;Горизонтальная/потолок;Прямоугольный;600;;;
ОВ-4.3-4;Ребристые плиты перекрытия;Горизонтальная/потолок;Прямоугольный;800;;;
ОВ-4.3-5;Ребристые плиты перекрытия;Горизонтальная/потолок;Прямоугольный;1000;;;
ОВ-4.3-6;Ребристые плиты перекрытия;Горизонтальная/потолок;Прямоугольный;1200;;;
ОВ-4.3-7;Ребристые плиты перекрытия;Горизонтальная/потолок;Прямоугольный;1400;;;
ОВ-4.3-8;Ребристые плиты перекрытия;Горизонтальная/потолок;Прямоугольный;1600;;;
ОВ-4.3-9;Ребристые плиты перекрытия;Горизонтальная/потолок;Прямоугольный;1800;;;
ОВ-4.3-10;Ребристые плиты перекрытия;Горизонтальная/потолок;Прямоугольный;2000;;;
ОВ-5.1-1;Профилированный лист;Горизонтальная/потолок;Круглый;100;;;
ОВ-5.1-2;Профилированный лист;Горизонтальная/потолок;Круглый;125;;;
ОВ-5.1-3;Профилированный лист;Горизонтальная/потолок;Круглый;140;;;
ОВ-5.1-4;Профилированный лист;Горизонтальная/потолок;Круглый;150;;;
ОВ-5.1-5;Профилированный лист;Горизонтальная/потолок;Круглый;160;;;
ОВ-5.1-6;Профилированный лист;Горизонтальная/потолок;Круглый;180;;;
ОВ-5.1-7;Профилированный лист;Горизонтальная/потолок;Круглый;200;;;
ОВ-5.1-8;Профилированный лист;Горизонтальная/потолок;Круглый;225;;;
ОВ-5.1-9;Профилированный лист;Горизонтальная/потолок;Круглый;250;;;
ОВ-5.1-10;Профилированный лист;Горизонтальная/потолок;Круглый;280;;;
ОВ-5.1-11;Профилированный лист;Горизонтальная/потолок;Круглый;300;;;
ОВ-5.1-12;Профилированный лист;Горизонтальная/потолок;Круглый;315;;;
ОВ-5.1-13;Профилированный лист;Горизонтальная/потолок;Круглый;355;;;
ОВ-5.1-14;Профилированный лист;Горизонтальная/потолок;Круглый;400;;;
ОВ-5.2-1;Профилированный лист;Горизонтальная/потолок;Круглый;450;;;
ОВ-5.2-2;Профилированный лист;Горизонтальная/потолок;Круглый;500;;;
ОВ-5.2-3;Профилированный лист;Горизонтальная/потолок;Круглый;560;;;
ОВ-5.2-4;Профилированный лист;Горизонтальная/потолок;Круглый;600;;;
ОВ-5.2-5;Профилированный лист;Горизонтальная/потолок;Круглый;630;;;
ОВ-5.2-6;Профилированный лист;Горизонтальная/потолок;Круглый;710;;;
ОВ-5.2-7;Профилированный лист;Горизонтальная/потолок;Круглый;800;;;
ОВ-5.2-8;Профилированный лист;Горизонтальная/потолок;Круглый;900;;;
ОВ-5.2-9;Профилированный лист;Горизонтальная/потолок;Круглый;1000;;;
ОВ-5.2-10;Профилированный лист;Горизонтальная/потолок;Круглый;1120;;;
ОВ-5.2-11;Профилированный лист;Горизонтальная/потолок;Круглый;1250;;;
ОВ-5.3-1;Профилированный лист;Горизонтальная/потолок;Прямоугольный;200;;;
ОВ-5.3-2;Профилированный лист;Горизонтальная/потолок;Прямоугольный;400;;;
ОВ-5.3-3;Профилированный лист;Горизонтальная/потолок;Прямоугольный;600;;;
ОВ-5.3-4;Профилированный лист;Горизонтальная/потолок;Прямоугольный;800;;;
ОВ-5.3-5;Профилированный лист;Горизонтальная/потолок;Прямоугольный;1000;;;
ОВ-5.3-6;Профилированный лист;Горизонтальная/потолок;Прямоугольный;1200;;;
ОВ-5.3-7;Профилированный лист;Горизонтальная/потолок;Прямоугольный;1400;;;
ОВ-5.3-8;Профилированный лист;Горизонтальная/потолок;Прямоугольный;1600;;;
ОВ-5.3-9;Профилированный лист;Горизонтальная/потолок;Прямоугольный;1800;;;
ОВ-5.3-10;Профилированный лист;Горизонтальная/потолок;Прямоугольный;2000;;;
