номер_опоры;материал_основания;горизонтальный/вертикальный;крепление_к;условный диаметр трубы;вылет;max вертик.нагрузка;исполнение;диапазон_диаметров;тип_опоры;кол-во_труб
H6.0.1-1.1;Железобетон;Горизонтальный;Стена;8;50;0.15;1;ноя.15;Рядовая опора;1
H6.0.1-1.2;Железобетон;Горизонтальный;Стена;10;50;0.15;2;16-19;Рядовая опора;1
H6.0.1-1.3;Железобетон;Горизонтальный;Стена;15;50;0.15;3;20-24;Рядовая опора;1
H6.0.1-1.4;Железобетон;Горизонтальный;Стена;20;50;0.15;4;25-28;Рядовая опора;1
H6.0.1-1.5;Железобетон;Горизонтальный;Стена;25;50;0.15;5;32-35;Рядовая опора;1
H6.0.1-1.6;Железобетон;Горизонтальный;Стена;32;50;0.15;6;39-46;Рядовая опора;1
H6.0.1-1.7;Железобетон;Горизонтальный;Стена;40;50;0.15;7;48-53;Рядовая опора;1
H6.0.1-1.8;Железобетон;Горизонтальный;Стена;50;50;0.15;8;53-58;Рядовая опора;1
H6.0.1-1.9;Железобетон;Горизонтальный;Стена;50;50;0.15;9;60-65;Рядовая опора;1
H6.0.1-1.10;Железобетон;Горизонтальный;Стена;60;50;0.15;10;67-71;Рядовая опора;1
H6.0.1-1.11;Железобетон;Горизонтальный;Стена;65;100;0.15;11;74-80;Рядовая опора;1
H6.0.1-1.12;Железобетон;Горизонтальный;Стена;70;100;0.15;12;81-86;Рядовая опора;1
H6.0.1-1.13;Железобетон;Горизонтальный;Стена;80;100;0.15;13;88-94;Рядовая опора;1
H6.0.1-1.14;Железобетон;Горизонтальный;Стена;90;100;0.15;14;99-105;Рядовая опора;1
H6.0.1-1.15;Железобетон;Горизонтальный;Стена;100;100;0.15;15;108-116;Рядовая опора;1
H6.0.1-1.16;Железобетон;Горизонтальный;Стена;110;150;0.15;16;120-130;Рядовая опора;1
H6.0.1-1.17;Железобетон;Горизонтальный;Стена;125;150;0.15;17;135-143;Рядовая опора;1
H6.0.1-1.18;Железобетон;Горизонтальный;Стена;140;150;0.15;18;145-155;Рядовая опора;1
H6.0.1-1.19;Железобетон;Горизонтальный;Стена;150;150;0.15;19;162-170;Рядовая опора;1
H6.0.1-1.20;Железобетон;Горизонтальный;Стена;175;200;0.3;20;195-205;Рядовая опора;1
H6.0.1-1.21;Железобетон;Горизонтальный;Стена;200;200;0.3;21;207-219;Рядовая опора;1
H6.0.1-1.22;Железобетон;Горизонтальный;Стена;225;200;0.3;22;248-255;Рядовая опора;1
H6.0.1-1.23;Железобетон;Горизонтальный;Стена;250;200;0.3;23;260-274;Рядовая опора;1
H6.0.1-2.1;Железобетон;Вертикальный;Стена;8;50;0.15;1;ноя.15;Рядовая опора;1
H6.0.1-2.2;Железобетон;Вертикальный;Стена;10;50;0.15;2;16-19;Рядовая опора;1
H6.0.1-2.3;Железобетон;Вертикальный;Стена;15;50;0.15;3;20-24;Рядовая опора;1
H6.0.1-2.4;Железобетон;Вертикальный;Стена;20;50;0.15;4;25-28;Рядовая опора;1
H6.0.1-2.5;Железобетон;Вертикальный;Стена;25;50;0.15;5;32-35;Рядовая опора;1
H6.0.1-2.6;Железобетон;Вертикальный;Стена;32;50;0.15;6;39-46;Рядовая опора;1
H6.0.1-2.7;Железобетон;Вертикальный;Стена;40;50;0.15;7;48-53;Рядовая опора;1
H6.0.1-2.8;Железобетон;Вертикальный;Стена;50;50;0.15;8;53-58;Рядовая опора;1
H6.0.1-2.9;Железобетон;Вертикальный;Стена;50;50;0.15;9;60-65;Рядовая опора;1
H6.0.1-2.10;Железобетон;Вертикальный;Стена;60;50;0.15;10;67-71;Рядовая опора;1
H6.0.1-2.11;Железобетон;Вертикальный;Стена;65;100;0.15;11;74-80;Рядовая опора;1
H6.0.1-2.12;Железобетон;Вертикальный;Стена;70;100;0.15;12;81-86;Рядовая опора;1
H6.0.1-2.13;Железобетон;Вертикальный;Стена;80;100;0.15;13;88-94;Рядовая опора;1
H6.0.1-2.14;Железобетон;Вертикальный;Стена;90;100;0.15;14;99-105;Рядовая опора;1
H6.0.1-2.15;Железобетон;Вертикальный;Стена;100;100;0.15;15;108-116;Рядовая опора;1
H6.0.1-2.16;Железобетон;Вертикальный;Стена;110;150;0.15;16;120-130;Рядовая опора;1
H6.0.1-2.17;Железобетон;Вертикальный;Стена;125;150;0.15;17;135-143;Рядовая опора;1
H6.0.1-2.18;Железобетон;Вертикальный;Стена;140;150;0.15;18;145-155;Рядовая опора;1
H6.0.1-2.19;Железобетон;Вертикальный;Стена;150;150;0.15;19;162-170;Рядовая опора;1
H6.0.1-2.20;Железобетон;Вертикальный;Стена;175;200;0.3;20;195-205;Рядовая опора;1
H6.0.1-2.21;Железобетон;Вертикальный;Стена;200;200;0.3;21;207-219;Рядовая опора;1
H6.0.1-2.22;Железобетон;Вертикальный;Стена;225;200;0.3;22;248-255;Рядовая опора;1
H6.0.1-2.23;Железобетон;Вертикальный;Стена;250;200;0.3;23;260-274;Рядовая опора;1
H6.0.1-3.1(1);Железобетон;Горизонтальный;Стена;8;200;0.5;1;ноя.15;Рядовая опора;1
H6.0.1-3.2(1);Железобетон;Горизонтальный;Стена;10;200;0.5;2;16-19;Рядовая опора;1
H6.0.1-3.3(1);Железобетон;Горизонтальный;Стена;15;200;0.5;3;20-24;Рядовая опора;1
H6.0.1-3.4(1);Железобетон;Горизонтальный;Стена;20;200;0.5;4;25-28;Рядовая опора;1
H6.0.1-3.5(1);Железобетон;Горизонтальный;Стена;25;200;0.5;5;32-35;Рядовая опора;1
H6.0.1-3.6(1);Железобетон;Горизонтальный;Стена;32;200;0.5;6;39-46;Рядовая опора;1
H6.0.1-3.7(1);Железобетон;Горизонтальный;Стена;40;200;0.5;7;48-53;Рядовая опора;1
H6.0.1-3.8(1);Железобетон;Горизонтальный;Стена;50;200;0.9;8;53-58;Рядовая опора;1
H6.0.1-3.9(1);Железобетон;Горизонтальный;Стена;50;200;0.9;9;60-65;Рядовая опора;1
H6.0.1-3.10(1);Железобетон;Горизонтальный;Стена;60;200;0.9;10;67-71;Рядовая опора;1
H6.0.1-3.11(1);Железобетон;Горизонтальный;Стена;65;200;0.9;11;74-80;Рядовая опора;1
H6.0.1-3.12(1);Железобетон;Горизонтальный;Стена;70;200;0.9;12;81-86;Рядовая опора;1
H6.0.1-3.13(1);Железобетон;Горизонтальный;Стена;80;200;0.9;13;88-94;Рядовая опора;1
H6.0.1-3.14(1);Железобетон;Горизонтальный;Стена;90;200;1;14;99-105;Рядовая опора;1
H6.0.1-3.15(1);Железобетон;Горизонтальный;Стена;100;200;1;15;108-116;Рядовая опора;1
H6.0.1-3.16(1);Железобетон;Горизонтальный;Стена;110;200;1.5;16;120-130;Рядовая опора;1
H6.0.1-3.17(1);Железобетон;Горизонтальный;Стена;125;200;1.5;17;135-143;Рядовая опора;1
H6.0.1-3.18(1);Железобетон;Горизонтальный;Стена;140;200;1.5;18;145-155;Рядовая опора;1
H6.0.1-3.19(1);Железобетон;Горизонтальный;Стена;150;200;1.5;19;162-170;Рядовая опора;1
H6.0.1-3.20(1);Железобетон;Горизонтальный;Стена;175;200;3.1;20;195-205;Рядовая опора;1
H6.0.1-3.21(1);Железобетон;Горизонтальный;Стена;200;200;3.1;21;207-219;Рядовая опора;1
H6.0.1-3.22(1);Железобетон;Горизонтальный;Стена;225;200;3.1;22;248-255;Рядовая опора;1
H6.0.1-3.23(1);Железобетон;Горизонтальный;Стена;250;200;3.1;23;260-274;Рядовая опора;1
H6.0.1-3.1(2);Железобетон;Горизонтальный;Стена;8;400;0.5;1;ноя.15;Рядовая опора;1
H6.0.1-3.2(2);Железобетон;Горизонтальный;Стена;10;400;0.5;2;16-19;Рядовая опора;1
H6.0.1-3.3(2);Железобетон;Горизонтальный;Стена;15;400;0.5;3;20-24;Рядовая опора;1
H6.0.1-3.4(2);Железобетон;Горизонтальный;Стена;20;400;0.5;4;25-28;Рядовая опора;1
H6.0.1-3.5(2);Железобетон;Горизонтальный;Стена;25;400;0.5;5;32-35;Рядовая опора;1
H6.0.1-3.6(2);Железобетон;Горизонтальный;Стена;32;400;0.5;6;39-46;Рядовая опора;1
H6.0.1-3.7(2);Железобетон;Горизонтальный;Стена;40;400;0.5;7;48-53;Рядовая опора;1
H6.0.1-3.8(2);Железобетон;Горизонтальный;Стена;50;400;0.9;8;53-58;Рядовая опора;1
H6.0.1-3.9(2);Железобетон;Горизонтальный;Стена;50;400;0.9;9;60-65;Рядовая опора;1
H6.0.1-3.10(2);Железобетон;Горизонтальный;Стена;60;400;0.9;10;67-71;Рядовая опора;1
H6.0.1-3.11(2);Железобетон;Горизонтальный;Стена;65;400;0.9;11;74-80;Рядовая опора;1
H6.0.1-3.12(2);Железобетон;Горизонтальный;Стена;70;400;0.9;12;81-86;Рядовая опора;1
H6.0.1-3.13(2);Железобетон;Горизонтальный;Стена;80;400;0.9;13;88-94;Рядовая опора;1
H6.0.1-3.14(2);Железобетон;Горизонтальный;Стена;90;400;1;14;99-105;Рядовая опора;1
H6.0.1-3.15(2);Железобетон;Горизонтальный;Стена;100;400;1;15;108-116;Рядовая опора;1
H6.0.1-3.16(2);Железобетон;Горизонтальный;Стена;110;400;1.5;16;120-130;Рядовая опора;1
H6.0.1-3.17(2);Железобетон;Горизонтальный;Стена;125;400;1.5;17;135-143;Рядовая опора;1
H6.0.1-3.18(2);Железобетон;Горизонтальный;Стена;140;400;1.5;18;145-155;Рядовая опора;1
H6.0.1-3.19(2);Железобетон;Горизонтальный;Стена;150;400;1.5;19;162-170;Рядовая опора;1
H6.0.1-3.20(2);Железобетон;Горизонтальный;Стена;175;400;3.1;20;195-205;Рядовая опора;1
H6.0.1-3.21(2);Железобетон;Горизонтальный;Стена;200;400;3.1;21;207-219;Рядовая опора;1
H6.0.1-3.22(2);Железобетон;Горизонтальный;Стена;225;400;3.1;22;248-255;Рядовая опора;1
H6.0.1-3.23(2);Железобетон;Горизонтальный;Стена;250;400;3.1;23;260-274;Рядовая опора;1
H6.0.1-4.1;Железобетон;Горизонтальный;Стена;8;400;0.6;1;ноя.15;Рядовая опора;2
H6.0.1-4.2;Железобетон;Горизонтальный;Стена;10;400;0.6;2;16-19;Рядовая опора;2
H6.0.1-4.3;Железобетон;Горизонтальный;Стена;15;400;0.6;3;20-24;Рядовая опора;2
H6.0.1-4.4;Железобетон;Горизонтальный;Стена;20;400;0.6;4;25-28;Рядовая опора;2
H6.0.1-4.5;Железобетон;Горизонтальный;Стена;25;400;0.6;5;32-35;Рядовая опора;2
H6.0.1-4.6;Железобетон;Горизонтальный;Стена;32;400;0.6;6;39-46;Рядовая опора;2
H6.0.1-4.7;Железобетон;Горизонтальный;Стена;40;400;0.6;7;48-53;Рядовая опора;2
H6.0.1-4.8;Железобетон;Горизонтальный;Стена;50;400;0.6;8;53-58;Рядовая опора;2
H6.0.1-4.9;Железобетон;Горизонтальный;Стена;50;400;0.6;9;60-65;Рядовая опора;2
H6.0.1-4.10;Железобетон;Горизонтальный;Стена;60;400;0.6;10;67-71;Рядовая опора;2
H6.0.1-4.11;Железобетон;Горизонтальный;Стена;65;400;0.9;11;74-80;Рядовая опора;2
H6.0.1-4.12;Железобетон;Горизонтальный;Стена;70;400;0.9;12;81-86;Рядовая опора;2
H6.0.1-4.13;Железобетон;Горизонтальный;Стена;80;550;0.9;13;88-94;Рядовая опора;2
H6.0.1-4.14;Железобетон;Горизонтальный;Стена;90;550;1;14;99-105;Рядовая опора;2
H6.0.1-4.15;Железобетон;Горизонтальный;Стена;100;550;1;15;108-116;Рядовая опора;2
H6.0.1-4.16;Железобетон;Горизонтальный;Стена;110;550;1.5;16;120-130;Рядовая опора;2
H6.0.1-4.17;Железобетон;Горизонтальный;Стена;125;550;1.5;17;135-143;Рядовая опора;2
H6.0.1-4.18;Железобетон;Горизонтальный;Стена;140;550;1.5;18;145-155;Рядовая опора;2
H6.0.1-4.19;Железобетон;Горизонтальный;Стена;150;550;1.5;19;162-170;Рядовая опора;2
H6.0.1-4.20;Железобетон;Горизонтальный;Стена;175;700;2.5;20;195-205;Рядовая опора;2
H6.0.1-4.21;Железобетон;Горизонтальный;Стена;200;700;2.5;21;207-219;Рядовая опора;2
H6.0.1-4.22;Железобетон;Горизонтальный;Стена;225;700;2.5;22;248-255;Рядовая опора;2
H6.0.1-4.23;Железобетон;Горизонтальный;Стена;250;700;2.5;23;260-274;Рядовая опора;2
H6.0.1-5.1 (1);Железобетон;Вертикальный;Стена;8;250;0.15;1;ноя.15;Рядовая опора;1
H6.0.1-5.2 (1);Железобетон;Вертикальный;Стена;10;250;0.15;2;16-19;Рядовая опора;1
H6.0.1-5.3(1);Железобетон;Вертикальный;Стена;15;250;0.15;3;20-24;Рядовая опора;1
H6.0.1-5.4(1);Железобетон;Вертикальный;Стена;20;250;0.15;4;25-28;Рядовая опора;1
H6.0.1-5.5(1);Железобетон;Вертикальный;Стена;25;250;0.15;5;32-35;Рядовая опора;1
H6.0.1-5.6(1);Железобетон;Вертикальный;Стена;32;250;0.15;6;39-46;Рядовая опора;1
H6.0.1-5.7(1);Железобетон;Вертикальный;Стена;40;250;0.15;7;48-53;Рядовая опора;1
H6.0.1-5.8(1);Железобетон;Вертикальный;Стена;50;250;0.15;8;53-58;Рядовая опора;1
H6.0.1-5.9(1);Железобетон;Вертикальный;Стена;50;250;0.15;9;60-65;Рядовая опора;1
H6.0.1-5.10(1);Железобетон;Вертикальный;Стена;60;250;0.15;10;67-71;Рядовая опора;1
H6.0.1-5.11(1);Железобетон;Вертикальный;Стена;65;250;0.15;11;74-80;Рядовая опора;1
H6.0.1-5.12(1);Железобетон;Вертикальный;Стена;70;250;0.15;12;81-86;Рядовая опора;1
H6.0.1-5.13(1);Железобетон;Вертикальный;Стена;80;250;0.15;13;88-94;Рядовая опора;1
H6.0.1-5.14(1);Железобетон;Вертикальный;Стена;90;250;0.15;14;99-105;Рядовая опора;1
H6.0.1-5.15(1);Железобетон;Вертикальный;Стена;100;250;0.15;15;108-116;Рядовая опора;1
H6.0.1-5.16(1);Железобетон;Вертикальный;Стена;110;250;0.15;16;120-130;Рядовая опора;1
H6.0.1-5.17(1);Железобетон;Вертикальный;Стена;125;250;0.15;17;135-143;Рядовая опора;1
H6.0.1-5.18(1);Железобетон;Вертикальный;Стена;140;250;0.15;18;145-155;Рядовая опора;1
H6.0.1-5.19(1);Железобетон;Вертикальный;Стена;150;250;0.15;19;162-170;Рядовая опора;1
H6.0.1-5.20(1);Железобетон;Вертикальный;Стена;175;250;0.15;20;195-205;Рядовая опора;1
H6.0.1-5.21(1);Железобетон;Вертикальный;Стена;200;250;0.15;21;207-219;Рядовая опора;1
H6.0.1-5.22(1);Железобетон;Вертикальный;Стена;225;250;0.15;22;248-255;Рядовая опора;1
H6.0.1-5.23(1);Железобетон;Вертикальный;Стена;250;250;0.15;23;260-274;Рядовая опора;1
H6.0.1-5.1 (2);Железобетон;Вертикальный;Стена;8;400;0.15;1;ноя.15;Рядовая опора;1
H6.0.1-5.2  (2);Железобетон;Вертикальный;Стена;10;400;0.15;2;16-19;Рядовая опора;1
H6.0.1-5.3 (2);Железобетон;Вертикальный;Стена;15;400;0.15;3;20-24;Рядовая опора;1
H6.0.1-5.4 (2);Железобетон;Вертикальный;Стена;20;400;0.15;4;25-28;Рядовая опора;1
H6.0.1-5.5 (2);Железобетон;Вертикальный;Стена;25;400;0.15;5;32-35;Рядовая опора;1
H6.0.1-5.6 (2);Железобетон;Вертикальный;Стена;32;400;0.15;6;39-46;Рядовая опора;1
H6.0.1-5.7 (2);Железобетон;Вертикальный;Стена;40;400;0.15;7;48-53;Рядовая опора;1
H6.0.1-5.8 (2);Железобетон;Вертикальный;Стена;50;400;0.15;8;53-58;Рядовая опора;1
H6.0.1-5.9 (2);Железобетон;Вертикальный;Стена;50;400;0.15;9;60-65;Рядовая опора;1
H6.0.1-5.10 (2);Железобетон;Вертикальный;Стена;60;400;0.15;10;67-71;Рядовая опора;1
H6.0.1-5.11 (2);Железобетон;Вертикальный;Стена;65;400;0.15;11;74-80;Рядовая опора;1
H6.0.1-5.12 (2);Железобетон;Вертикальный;Стена;70;400;0.15;12;81-86;Рядовая опора;1
H6.0.1-5.13 (2);Железобетон;Вертикальный;Стена;80;400;0.15;13;88-94;Рядовая опора;1
H6.0.1-5.14 (2);Железобетон;Вертикальный;Стена;90;400;0.15;14;99-105;Рядовая опора;1
H6.0.1-5.15 (2);Железобетон;Вертикальный;Стена;100;400;0.15;15;108-116;Рядовая опора;1
H6.0.1-5.16 (2);Железобетон;Вертикальный;Стена;110;400;0.15;16;120-130;Рядовая опора;1
H6.0.1-5.17 (2);Железобетон;Вертикальный;Стена;125;400;0.15;17;135-143;Рядовая опора;1
H6.0.1-5.18 (2);Железобетон;Вертикальный;Стена;140;400;0.15;18;145-155;Рядовая опора;1
H6.0.1-5.19 (2);Железобетон;Вертикальный;Стена;150;400;0.15;19;162-170;Рядовая опора;1
H6.0.1-5.20 (2);Железобетон;Вертикальный;Стена;175;400;0.15;20;195-205;Рядовая опора;1
H6.0.1-5.21 (2);Железобетон;Вертикальный;Стена;200;400;0.15;21;207-219;Рядовая опора;1
H6.0.1-5.22 (2);Железобетон;Вертикальный;Стена;225;400;0.15;22;248-255;Рядовая опора;1
H6.0.1-5.23 (2);Железобетон;Вертикальный;Стена;250;400;0.15;23;260-274;Рядовая опора;1
H6.0.1-6.15(1);Железобетон;Вертикальный;Стена;100;250;3;15;108-116;Рядовая опора;1
H6.0.1-6.16(1);Железобетон;Вертикальный;Стена;110;250;3;16;120-130;Рядовая опора;1
H6.0.1-6.17(1);Железобетон;Вертикальный;Стена;125;250;3;17;135-143;Рядовая опора;1
H6.0.1-6.18(1);Железобетон;Вертикальный;Стена;140;250;3;18;145-155;Рядовая опора;1
H6.0.1-6.19(1);Железобетон;Вертикальный;Стена;150;250;3;19;162-170;Рядовая опора;1
H6.0.1-6.20(1);Железобетон;Вертикальный;Стена;175;250;3;20;195-205;Рядовая опора;1
H6.0.1-6.21(1);Железобетон;Вертикальный;Стена;200;250;3;21;207-219;Рядовая опора;1
H6.0.1-6.22(1);Железобетон;Вертикальный;Стена;225;250;3;22;248-255;Рядовая опора;1
H6.0.1-6.23(1);Железобетон;Вертикальный;Стена;250;250;3;23;260-274;Рядовая опора;1
H6.0.1-6.15(2);Железобетон;Вертикальный;Стена;100;400;3;15;108-116;Рядовая опора;1
H6.0.1-6.16(2);Железобетон;Вертикальный;Стена;110;400;3;16;120-130;Рядовая опора;1
H6.0.1-6.17(2);Железобетон;Вертикальный;Стена;125;400;3;17;135-143;Рядовая опора;1
H6.0.1-6.18(2);Железобетон;Вертикальный;Стена;140;400;3;18;145-155;Рядовая опора;1
H6.0.1-6.19(2);Железобетон;Вертикальный;Стена;150;400;3;19;162-170;Рядовая опора;1
H6.0.1-6.20(2);Железобетон;Вертикальный;Стена;175;400;3;20;195-205;Рядовая опора;1
H6.0.1-6.21(2);Железобетон;Вертикальный;Стена;200;400;3;21;207-219;Рядовая опора;1
H6.0.1-6.22(2);Железобетон;Вертикальный;Стена;225;400;3;22;248-255;Рядовая опора;1
H6.0.1-6.23(2);Железобетон;Вертикальный;Стена;250;400;3;23;260-274;Рядовая опора;1
H6.0.1-7.1;Железобетон;Горизонтальный;Пол;8;50;0.6;1;ноя.15;Рядовая опора;1
H6.0.1-7.2;Железобетон;Горизонтальный;Пол;10;50;0.6;2;16-19;Рядовая опора;1
H6.0.1-7.3;Железобетон;Горизонтальный;Пол;15;50;0.6;3;20-24;Рядовая опора;1
H6.0.1-7.4;Железобетон;Горизонтальный;Пол;20;50;0.6;4;25-28;Рядовая опора;1
H6.0.1-7.5;Железобетон;Горизонтальный;Пол;25;50;0.6;5;32-35;Рядовая опора;1
H6.0.1-7.6;Железобетон;Горизонтальный;Пол;32;50;0.6;6;39-46;Рядовая опора;1
H6.0.1-7.7;Железобетон;Горизонтальный;Пол;40;50;0.6;7;48-53;Рядовая опора;1
H6.0.1-7.8;Железобетон;Горизонтальный;Пол;50;50;0.9;8;53-58;Рядовая опора;1
H6.0.1-7.9;Железобетон;Горизонтальный;Пол;50;50;0.9;9;60-65;Рядовая опора;1
H6.0.1-7.10;Железобетон;Горизонтальный;Пол;60;50;0.9;10;67-71;Рядовая опора;1
H6.0.1-7.11;Железобетон;Горизонтальный;Пол;65;50;0.9;11;74-80;Рядовая опора;1
H6.0.1-7.12;Железобетон;Горизонтальный;Пол;70;50;0.9;12;81-86;Рядовая опора;1
H6.0.1-7.13;Железобетон;Горизонтальный;Пол;80;50;0.9;13;88-94;Рядовая опора;1
H6.0.1-7.14;Железобетон;Горизонтальный;Пол;90;50;1;14;99-105;Рядовая опора;1
H6.0.1-7.15;Железобетон;Горизонтальный;Пол;100;50;1;15;108-116;Рядовая опора;1
H6.0.1-7.16;Железобетон;Горизонтальный;Пол;110;50;1.5;16;120-130;Рядовая опора;1
H6.0.1-7.17;Железобетон;Горизонтальный;Пол;125;50;1.5;17;135-143;Рядовая опора;1
H6.0.1-7.18;Железобетон;Горизонтальный;Пол;140;50;1.5;18;145-155;Рядовая опора;1
H6.0.1-7.19;Железобетон;Горизонтальный;Пол;150;50;1.5;19;162-170;Рядовая опора;1
H6.0.1-7.20;Железобетон;Горизонтальный;Пол;175;50;3.1;20;195-205;Рядовая опора;1
H6.0.1-7.21;Железобетон;Горизонтальный;Пол;200;50;3.1;21;207-219;Рядовая опора;1
H6.0.1-7.22;Железобетон;Горизонтальный;Пол;225;50;3.1;22;248-255;Рядовая опора;1
H6.0.1-7.23;Железобетон;Горизонтальный;Пол;250;50;3.1;23;260-274;Рядовая опора;1
H6.0.1-8.1(1);Железобетон;Горизонтальный;Пол;8;300;0.15;1;ноя.15;Рядовая опора;1
H6.0.1-8.2(1);Железобетон;Горизонтальный;Пол;10;300;0.15;2;16-19;Рядовая опора;1
H6.0.1-8.3(1);Железобетон;Горизонтальный;Пол;15;300;0.15;3;20-24;Рядовая опора;1
H6.0.1-8.4(1);Железобетон;Горизонтальный;Пол;20;300;0.15;4;25-28;Рядовая опора;1
H6.0.1-8.5(1);Железобетон;Горизонтальный;Пол;25;300;0.15;5;32-35;Рядовая опора;1
H6.0.1-8.6(1);Железобетон;Горизонтальный;Пол;32;300;0.15;6;39-46;Рядовая опора;1
H6.0.1-8.7(1);Железобетон;Горизонтальный;Пол;40;300;0.15;7;48-53;Рядовая опора;1
H6.0.1-8.8(1);Железобетон;Горизонтальный;Пол;50;300;0.15;8;53-58;Рядовая опора;1
H6.0.1-8.9(1);Железобетон;Горизонтальный;Пол;50;300;0.15;9;60-65;Рядовая опора;1
H6.0.1-8.10(1);Железобетон;Горизонтальный;Пол;60;300;0.15;10;67-71;Рядовая опора;1
H6.0.1-8.11(1);Железобетон;Горизонтальный;Пол;65;300;0.15;11;74-80;Рядовая опора;1
H6.0.1-8.12(1);Железобетон;Горизонтальный;Пол;70;300;0.15;12;81-86;Рядовая опора;1
H6.0.1-8.13(1);Железобетон;Горизонтальный;Пол;80;300;0.15;13;88-94;Рядовая опора;1
H6.0.1-8.14(1);Железобетон;Горизонтальный;Пол;90;300;0.15;14;99-105;Рядовая опора;1
H6.0.1-8.15(1);Железобетон;Горизонтальный;Пол;100;300;0.15;15;108-116;Рядовая опора;1
H6.0.1-8.16(1);Железобетон;Горизонтальный;Пол;110;300;0.15;16;120-130;Рядовая опора;1
H6.0.1-8.17(1);Железобетон;Горизонтальный;Пол;125;300;0.15;17;135-143;Рядовая опора;1
H6.0.1-8.18(1);Железобетон;Горизонтальный;Пол;140;300;0.15;18;145-155;Рядовая опора;1
H6.0.1-8.19(1);Железобетон;Горизонтальный;Пол;150;300;0.15;19;162-170;Рядовая опора;1
H6.0.1-8.20(1);Железобетон;Горизонтальный;Пол;175;300;0.3;20;195-205;Рядовая опора;1
H6.0.1-8.21(1);Железобетон;Горизонтальный;Пол;200;300;0.3;21;207-219;Рядовая опора;1
H6.0.1-8.22(1);Железобетон;Горизонтальный;Пол;225;300;0.3;22;248-255;Рядовая опора;1
H6.0.1-8.23(1);Железобетон;Горизонтальный;Пол;250;300;0.3;23;260-274;Рядовая опора;1
H6.0.1-8.1(2);Железобетон;Горизонтальный;Пол;8;600;0.15;1;ноя.15;Рядовая опора;1
H6.0.1-8.2(2);Железобетон;Горизонтальный;Пол;10;600;0.15;2;16-19;Рядовая опора;1
H6.0.1-8.3(2);Железобетон;Горизонтальный;Пол;15;600;0.15;3;20-24;Рядовая опора;1
H6.0.1-8.4(2);Железобетон;Горизонтальный;Пол;20;600;0.15;4;25-28;Рядовая опора;1
H6.0.1-8.5(2);Железобетон;Горизонтальный;Пол;25;600;0.15;5;32-35;Рядовая опора;1
H6.0.1-8.6(2);Железобетон;Горизонтальный;Пол;32;600;0.15;6;39-46;Рядовая опора;1
H6.0.1-8.7(2);Железобетон;Горизонтальный;Пол;40;600;0.15;7;48-53;Рядовая опора;1
H6.0.1-8.8(2);Железобетон;Горизонтальный;Пол;50;600;0.15;8;53-58;Рядовая опора;1
H6.0.1-8.9(2);Железобетон;Горизонтальный;Пол;50;600;0.15;9;60-65;Рядовая опора;1
H6.0.1-8.10(2);Железобетон;Горизонтальный;Пол;60;600;0.15;10;67-71;Рядовая опора;1
H6.0.1-8.11(2);Железобетон;Горизонтальный;Пол;65;600;0.15;11;74-80;Рядовая опора;1
H6.0.1-8.12(2);Железобетон;Горизонтальный;Пол;70;600;0.15;12;81-86;Рядовая опора;1
H6.0.1-8.13(2);Железобетон;Горизонтальный;Пол;80;600;0.15;13;88-94;Рядовая опора;1
H6.0.1-8.14(2);Железобетон;Горизонтальный;Пол;90;600;0.15;14;99-105;Рядовая опора;1
H6.0.1-8.15(2);Железобетон;Горизонтальный;Пол;100;600;0.15;15;108-116;Рядовая опора;1
H6.0.1-8.16(2);Железобетон;Горизонтальный;Пол;110;600;0.15;16;120-130;Рядовая опора;1
H6.0.1-8.17(2);Железобетон;Горизонтальный;Пол;125;600;0.15;17;135-143;Рядовая опора;1
H6.0.1-8.18(2);Железобетон;Горизонтальный;Пол;140;600;0.15;18;145-155;Рядовая опора;1
H6.0.1-8.19(2);Железобетон;Горизонтальный;Пол;150;600;0.15;19;162-170;Рядовая опора;1
H6.0.1-8.20(2);Железобетон;Горизонтальный;Пол;175;600;0.3;20;195-205;Рядовая опора;1
H6.0.1-8.21(2);Железобетон;Горизонтальный;Пол;200;600;0.3;21;207-219;Рядовая опора;1
H6.0.1-8.22(2);Железобетон;Горизонтальный;Пол;225;600;0.3;22;248-255;Рядовая опора;1
H6.0.1-8.23(2);Железобетон;Горизонтальный;Пол;250;600;0.3;23;260-274;Рядовая опора;1
H6.0.1-8.1(3);Железобетон;Горизонтальный;Пол;8;1000;0.15;1;ноя.15;Рядовая опора;1
H6.0.1-8.2(3);Железобетон;Горизонтальный;Пол;10;1000;0.15;2;16-19;Рядовая опора;1
H6.0.1-8.3(3);Железобетон;Горизонтальный;Пол;15;1000;0.15;3;20-24;Рядовая опора;1
H6.0.1-8.4(3);Железобетон;Горизонтальный;Пол;20;1000;0.15;4;25-28;Рядовая опора;1
H6.0.1-8.5(3);Железобетон;Горизонтальный;Пол;25;1000;0.15;5;32-35;Рядовая опора;1
H6.0.1-8.6(3);Железобетон;Горизонтальный;Пол;32;1000;0.15;6;39-46;Рядовая опора;1
H6.0.1-8.7(3);Железобетон;Горизонтальный;Пол;40;1000;0.15;7;48-53;Рядовая опора;1
H6.0.1-8.8(3);Железобетон;Горизонтальный;Пол;50;1000;0.15;8;53-58;Рядовая опора;1
H6.0.1-8.9(3);Железобетон;Горизонтальный;Пол;50;1000;0.15;9;60-65;Рядовая опора;1
